"filename","listnumber","assignmentid","hitid","workerid","origin","timestamp","partid","answer","clipid","questiontype","questionid","questiontext","answer1","answer2","answer3","answer4","correctanswer","img","id"
"nathan4-rand-imgs-noheaders.csv","","NOT AVAILABLE","NOT AVAILABLE","test","PROLIFIC","09-Jul-2026 09:26:51","14746","""{\""answer\"":\""Grocery stores\"",\""RT\"":1534,\""timeout\"":0,\""feedback\"":{\""seenBefore\"":\""No\"",\""anyProblems\"":\""No\"",\""problemDescription\"":\""\"",\""comments\"":\""\""}}""","1","control","1","What type of businesses are around the antique shop?","Antique shops","International restaurants","Bars","Grocery stores","Bars","none.png","2242586"
"nathan4-rand-imgs-noheaders.csv","","NOT AVAILABLE","NOT AVAILABLE","testRedirect","PROLIFIC","09-Jul-2026 09:44:09","14746","""{\""answer\"":\""Grocery stores\"",\""RT\"":863,\""timeout\"":0,\""feedback\"":{\""seenBefore\"":\""No\"",\""anyProblems\"":\""No\"",\""problemDescription\"":\""\"",\""comments\"":\""\""}}""","1","control","1","What type of businesses are around the antique shop?","Antique shops","International restaurants","Bars","Grocery stores","Bars","none.png","2242681"
"nathan4-rand-imgs-noheaders.csv","","NOT AVAILABLE","NOT AVAILABLE","test","PROLIFIC","09-Jul-2026 09:26:51","14746","""{\""answer\"":\""Agitated\"",\""timeout\"":0,\""videoLoadFailed\"":true,\""RT\"":1055}""","3","emotion","10","How does Emily feel about Nathan's plan?","Reluctant","Intrigued","Enthusiastic","Agitated","Reluctant","emily&nathan.png","2242595"
"nathan4-rand-imgs-noheaders.csv","","NOT AVAILABLE","NOT AVAILABLE","testRedirect","PROLIFIC","09-Jul-2026 09:44:09","14746","""{\""answer\"":\""Agitated\"",\""timeout\"":0,\""videoLoadFailed\"":true,\""RT\"":970}""","3","emotion","10","How does Emily feel about Nathan's plan?","Reluctant","Intrigued","Enthusiastic","Agitated","Reluctant","emily&nathan.png","2242690"
"nathan4-rand-imgs-noheaders.csv","","NOT AVAILABLE","NOT AVAILABLE","test","PROLIFIC","09-Jul-2026 09:26:51","14746","""{\""answer\"":\""He wants Emily to have company when she is open late\"",\""timeout\"":0,\""videoLoadFailed\"":true,\""RT\"":412}""","3","motivation","11","Why does Nathan want drunk customers in Emily's store?","So Emily can have more people in the store","Because they are likely to break her merchandise","He thinks drunk customers will want to spend more money","He wants Emily to have company when she is open late","Because they are likely to break her merchandise","emily&nathan.png","2242596"
"nathan4-rand-imgs-noheaders.csv","","NOT AVAILABLE","NOT AVAILABLE","testRedirect","PROLIFIC","09-Jul-2026 09:44:09","14746","""{\""answer\"":\""He wants Emily to have company when she is open late\"",\""timeout\"":0,\""videoLoadFailed\"":true,\""RT\"":474}""","3","motivation","11","Why does Nathan want drunk customers in Emily's store?","So Emily can have more people in the store","Because they are likely to break her merchandise","He thinks drunk customers will want to spend more money","He wants Emily to have company when she is open late","Because they are likely to break her merchandise","emily&nathan.png","2242691"
"nathan4-rand-imgs-noheaders.csv","","NOT AVAILABLE","NOT AVAILABLE","test","PROLIFIC","09-Jul-2026 09:26:51","14746","""{\""answer\"":\""Yes, Nathan's plan for people to break things so they have to buy them is inappropriate\"",\""timeout\"":0,\""videoLoadFailed\"":true,\""RT\"":935}""","3","social_norm_violation","12","Did someone say or do something inappropriate in this clip?","No, there was nothing inappropriate in this clip","Yes, Nathan's plan for people to break things so they have to buy them is inappropriate","Yes, it is inappropriate to make Emily work longer days","Yes, Emily did not appreciate Nathan's help","Yes, Nathan's plan for people to break things so they have to buy them is inappropriate","emily&nathan.png","2242597"
"nathan4-rand-imgs-noheaders.csv","","NOT AVAILABLE","NOT AVAILABLE","testRedirect","PROLIFIC","09-Jul-2026 09:44:09","14746","""{\""answer\"":\""Yes, Nathan's plan for people to break things so they have to buy them is inappropriate\"",\""timeout\"":0,\""videoLoadFailed\"":true,\""RT\"":585}""","3","social_norm_violation","12","Did someone say or do something inappropriate in this clip?","No, there was nothing inappropriate in this clip","Yes, Nathan's plan for people to break things so they have to buy them is inappropriate","Yes, it is inappropriate to make Emily work longer days","Yes, Emily did not appreciate Nathan's help","Yes, Nathan's plan for people to break things so they have to buy them is inappropriate","emily&nathan.png","2242692"
"nathan4-rand-imgs-noheaders.csv","","NOT AVAILABLE","NOT AVAILABLE","test","PROLIFIC","09-Jul-2026 09:26:51","14746","""{\""answer\"":\""They would want to spend a lot of money\"",\""timeout\"":0,\""videoLoadFailed\"":true,\""RT\"":955}""","4","motivation","13","Why does Nathan want the right drunk to come in Emily's shop?","To convince Emily of his plan","They are more likely to break, then have to buy, a lot of items","To get them interested in antiques","They would want to spend a lot of money","They are more likely to break, then have to buy, a lot of items","emily&nathan.png","2242598"
"nathan4-rand-imgs-noheaders.csv","","NOT AVAILABLE","NOT AVAILABLE","testRedirect","PROLIFIC","09-Jul-2026 09:44:09","14746","""{\""answer\"":\""They would want to spend a lot of money\"",\""timeout\"":0,\""videoLoadFailed\"":true,\""RT\"":801}""","4","motivation","13","Why does Nathan want the right drunk to come in Emily's shop?","To convince Emily of his plan","They are more likely to break, then have to buy, a lot of items","To get them interested in antiques","They would want to spend a lot of money","They are more likely to break, then have to buy, a lot of items","emily&nathan.png","2242693"
