"filename","listnumber","assignmentid","hitid","workerid","origin","timestamp","partid","answer","clipid","questiontype","questionid","questiontext","answer1","answer2","answer3","answer4","correctanswer","img","id"
"nathan4-rand-imgs-noheaders.csv","","NOT AVAILABLE","NOT AVAILABLE","1","PROLIFIC","09-Jul-2026 09:05:51","14721","""{\""answer\"":\""Antique shops\"",\""RT\"":1407,\""timeout\"":0,\""feedback\"":{\""seenBefore\"":\""No\"",\""anyProblems\"":\""No\"",\""problemDescription\"":\""\"",\""comments\"":\""\""}}""","1","control","1","What type of businesses are around the antique shop?","Antique shops","International restaurants","Bars","Grocery stores","Bars","none.png","2242460"
"nathan4-rand-imgs-noheaders.csv","","NOT AVAILABLE","NOT AVAILABLE","1234","PROLIFIC","09-Jul-2026 09:00:28","14721","""{\""answer\"":\""Antique shops\"",\""RT\"":1052,\""timeout\"":0,\""feedback\"":{\""seenBefore\"":\""No\"",\""anyProblems\"":\""No\"",\""problemDescription\"":\""\"",\""comments\"":\""\""}}""","1","control","1","What type of businesses are around the antique shop?","Antique shops","International restaurants","Bars","Grocery stores","Bars","none.png","2242365"
"nathan4-rand-imgs-noheaders.csv","","NOT AVAILABLE","NOT AVAILABLE","66da162f5538535e93490441","PROLIFIC","08-Jul-2026 22:39:46","14721","""{\""answer\"":\""Antique shops\"",\""RT\"":3520,\""timeout\"":0,\""feedback\"":{\""seenBefore\"":\""No\"",\""anyProblems\"":\""No\"",\""problemDescription\"":\""\"",\""comments\"":\""It was an interesting experiment for sure\""}}""","1","control","1","What type of businesses are around the antique shop?","Antique shops","International restaurants","Bars","Grocery stores","Bars","none.png","2241922"
"nathan4-rand-imgs-noheaders.csv","","NOT AVAILABLE","NOT AVAILABLE","6978d830c5d415696508430d","PROLIFIC","08-Jul-2026 21:04:35","14721","""{\""answer\"":\""Antique shops\"",\""RT\"":2646,\""timeout\"":0,\""feedback\"":{\""seenBefore\"":\""Yes\"",\""anyProblems\"":\""No\"",\""problemDescription\"":\""\"",\""comments\"":\""\""}}""","1","control","1","What type of businesses are around the antique shop?","Antique shops","International restaurants","Bars","Grocery stores","Bars","none.png","2241130"
"nathan4-rand-imgs-noheaders.csv","","NOT AVAILABLE","NOT AVAILABLE","699b610e2ba4bade6f39121b","PROLIFIC","08-Jul-2026 20:21:29","14721","""{\""answer\"":\""Bars\"",\""RT\"":15413,\""timeout\"":0,\""feedback\"":{\""seenBefore\"":\""Yes\"",\""anyProblems\"":\""No\"",\""problemDescription\"":\""\"",\""comments\"":\""This was a lot of fun. Well Done!\""}}""","1","control","1","What type of businesses are around the antique shop?","Antique shops","International restaurants","Bars","Grocery stores","Bars","none.png","2240719"
"nathan4-rand-imgs-noheaders.csv","","NOT AVAILABLE","NOT AVAILABLE","699e3cc79b0d3d96b469ca49","PROLIFIC","08-Jul-2026 21:28:14","14721","""{\""answer\"":\""Bars\"",\""RT\"":10168,\""timeout\"":0,\""feedback\"":{\""seenBefore\"":\""No\"",\""anyProblems\"":\""No\"",\""problemDescription\"":\""\"",\""comments\"":\""I feel like there were a few instances where I may have chosen a similar incorrect option or forgot a split-second detail (specifically the price comes to mind, i heard \\\""-hundred eighty dollars\\\"" but truly didn't hear the actual dollar amount. Otherwise this experiment was really fun in both parts :) Though it did take much longer than the 32 minutes advertised on Prolific\""}}""","1","control","1","What type of businesses are around the antique shop?","Antique shops","International restaurants","Bars","Grocery stores","Bars","none.png","2241289"
"nathan4-rand-imgs-noheaders.csv","","NOT AVAILABLE","NOT AVAILABLE","69a8cff018bead25e4a5d848","PROLIFIC","08-Jul-2026 23:45:37","14721","""{\""answer\"":\""Bars\"",\""RT\"":6200,\""timeout\"":0,\""feedback\"":{\""seenBefore\"":\""No\"",\""anyProblems\"":\""Yes\"",\""problemDescription\"":\""Two clips had a problem loading. But the screen said hit next and I did and then it played\"",\""comments\"":\""\""}}""","1","control","1","What type of businesses are around the antique shop?","Antique shops","International restaurants","Bars","Grocery stores","Bars","none.png","2242302"
"nathan4-rand-imgs-noheaders.csv","","NOT AVAILABLE","NOT AVAILABLE","69b5c6bdbcf55371066f5e73","PROLIFIC","08-Jul-2026 19:53:21","14721","""{\""answer\"":\""Bars\"",\""RT\"":4930,\""timeout\"":0,\""feedback\"":{\""seenBefore\"":\""No\"",\""anyProblems\"":\""No\"",\""problemDescription\"":\""\"",\""comments\"":\""\""}}""","1","control","1","What type of businesses are around the antique shop?","Antique shops","International restaurants","Bars","Grocery stores","Bars","none.png","2240497"
"nathan4-rand-imgs-noheaders.csv","","NOT AVAILABLE","NOT AVAILABLE","69d2a8765e19038ab2fc0f56","PROLIFIC","08-Jul-2026 21:55:43","14721","""{\""answer\"":\""Bars\"",\""RT\"":8223,\""timeout\"":0,\""feedback\"":{\""seenBefore\"":\""No\"",\""anyProblems\"":\""No\"",\""problemDescription\"":\""\"",\""comments\"":\""i wish more studies were like this it was enjoyable and made me want to watch the show\""}}""","1","control","1","What type of businesses are around the antique shop?","Antique shops","International restaurants","Bars","Grocery stores","Bars","none.png","2241605"
"nathan4-rand-imgs-noheaders.csv","","NOT AVAILABLE","NOT AVAILABLE","69daf476f6bc0d990581aca6","PROLIFIC","08-Jul-2026 18:57:37","14721","""{\""answer\"":\""Bars\"",\""RT\"":9245,\""timeout\"":0,\""feedback\"":{\""seenBefore\"":\""Yes\"",\""anyProblems\"":\""No\"",\""problemDescription\"":\""\"",\""comments\"":\""\""}}""","1","control","1","What type of businesses are around the antique shop?","Antique shops","International restaurants","Bars","Grocery stores","Bars","none.png","2239864"
