,itemId,p(weak|weak),itemType,speakerType,derivationStrength,strongRating
0,1,0.5019113004759606,critical,nonnative,0.6911363636363635,0.2988636363636364
1,2,0.6123338765130064,critical,nonnative,0.9111111111111111,0.08833333333333333
2,4,0.5540089604340664,critical,nonnative,0.7026086956521739,0.29739130434782607
3,5,0.6314022739945327,critical,nonnative,0.5321621621621622,0.4648648648648648
4,6,0.6397481756708654,critical,nonnative,0.7213157894736842,0.27421052631578946
5,8,0.5020034721899912,critical,nonnative,0.69375,0.3059375
6,9,0.5129982861930327,critical,nonnative,0.6488372093023256,0.3511627906976744
7,10,0.500781358932661,critical,nonnative,0.55725,0.41775
8,11,0.5353773845590102,critical,nonnative,0.5312903225806452,0.46741935483870967
9,12,0.5183887930710851,critical,nonnative,0.6384848484848485,0.36
10,14,0.6120596974925167,critical,nonnative,0.7132558139534884,0.2632558139534884
11,15,0.5030326818085936,critical,nonnative,0.69125,0.3085
