,itemId,p(weak|weak),itemType,speakerType,derivationStrength,strongRating
0,1,0.5000001607242115,critical,nonnative,0.6911363636363635,0.2988636363636364
1,2,0.5103339216849121,critical,nonnative,0.9111111111111111,0.08833333333333333
2,3,0.50009778409113,critical,nonnative,0.4275675675675676,0.571081081081081
3,4,0.5011231167965554,critical,nonnative,0.7026086956521739,0.29739130434782607
4,5,0.5173325076578726,critical,nonnative,0.5321621621621622,0.4648648648648648
5,6,0.5213473997515871,critical,nonnative,0.7213157894736842,0.27421052631578946
6,7,0.5000582123827505,critical,nonnative,0.44333333333333336,0.5566666666666665
7,8,0.5000001814487598,critical,nonnative,0.69375,0.3059375
8,9,0.500023264482265,critical,nonnative,0.6488372093023256,0.3511627906976744
9,10,0.5000000161097324,critical,nonnative,0.55725,0.41775
10,11,0.5003421438814964,critical,nonnative,0.5312903225806452,0.46741935483870967
11,12,0.5000582816502607,critical,nonnative,0.6384848484848485,0.36
12,13,0.5019533514121257,critical,nonnative,0.03725,0.9542499999999999
13,14,0.5102524469234184,critical,nonnative,0.7132558139534884,0.2632558139534884
14,15,0.5000005282993788,critical,nonnative,0.69125,0.3085
15,16,0.5000111238796805,critical,nonnative,0.44,0.5596078431372549
