filename,listnumber,assignmentid,hitid,workerid,origin,timestamp,partid,questionid,answer,weakscale,strongscale,subject,id
scales-contradictory.csv,,NOT AVAILABLE,NOT AVAILABLE,123,PROLIFIC,31-Dec-2025 16:31:04,14423,353272,"""{\""bad-atrocious\"":\""YES, IS A CONTRADICTION\""}""",bad,atrocious,It,2176246
scales-contradictory.csv,,NOT AVAILABLE,NOT AVAILABLE,55aeaeb3fdf99b5c769f1f7c,PROLIFIC,31-Dec-2025 18:16:29,14423,353272,"""{\""bad-atrocious\"":\""NO, NOT A CONTRADICTION\""}""",bad,atrocious,It,2178259
scales-contradictory.csv,,NOT AVAILABLE,NOT AVAILABLE,55dbdc9d50a1f7001190d753,PROLIFIC,31-Dec-2025 18:08:13,14423,353272,"""{\""bad-atrocious\"":\""NO, NOT A CONTRADICTION\""}""",bad,atrocious,It,2176614
scales-contradictory.csv,,NOT AVAILABLE,NOT AVAILABLE,5b91dc16cc81a400017a3438,PROLIFIC,31-Dec-2025 18:39:13,14423,353272,"""{\""bad-atrocious\"":\""NO, NOT A CONTRADICTION\""}""",bad,atrocious,It,2180452
scales-contradictory.csv,,NOT AVAILABLE,NOT AVAILABLE,5b9efb73d1ff7a00013bfe84,PROLIFIC,31-Dec-2025 18:17:14,14423,353272,"""{\""bad-atrocious\"":\""NO, NOT A CONTRADICTION\""}""",bad,atrocious,It,2178342
scales-contradictory.csv,,NOT AVAILABLE,NOT AVAILABLE,5c0fcccc1f6f150001487111,PROLIFIC,31-Dec-2025 18:26:43,14423,353272,"""{\""bad-atrocious\"":\""NO, NOT A CONTRADICTION\""}""",bad,atrocious,It,2179555
scales-contradictory.csv,,NOT AVAILABLE,NOT AVAILABLE,5c376ea0eecc440001c58889,PROLIFIC,31-Dec-2025 18:20:36,14423,353272,"""{\""bad-atrocious\"":\""NO, NOT A CONTRADICTION\""}""",bad,atrocious,It,2178950
scales-contradictory.csv,,NOT AVAILABLE,NOT AVAILABLE,5ce9bfc4d439ae00015968dd,PROLIFIC,31-Dec-2025 18:18:14,14423,353272,"""{\""bad-atrocious\"":\""NO, NOT A CONTRADICTION\""}""",bad,atrocious,It,2178662
scales-contradictory.csv,,NOT AVAILABLE,NOT AVAILABLE,5d53bffa147a7d00015aae5a,PROLIFIC,31-Dec-2025 18:14:52,14423,353272,"""{\""bad-atrocious\"":\""NO, NOT A CONTRADICTION\""}""",bad,atrocious,It,2177952
scales-contradictory.csv,,NOT AVAILABLE,NOT AVAILABLE,5e07a0898dffa00ff1aaf60f,PROLIFIC,31-Dec-2025 18:09:49,14423,353272,"""{\""bad-atrocious\"":\""YES, IS A CONTRADICTION\""}""",bad,atrocious,It,2176805
scales-contradictory.csv,,NOT AVAILABLE,NOT AVAILABLE,5e3ce0518134d00d50da79c6,PROLIFIC,31-Dec-2025 18:15:47,14423,353272,"""{\""bad-atrocious\"":\""NO, NOT A CONTRADICTION\""}""",bad,atrocious,It,2178155
scales-contradictory.csv,,NOT AVAILABLE,NOT AVAILABLE,5e9f3f09ccc75a0c345e4845,PROLIFIC,31-Dec-2025 18:04:10,14423,353272,"""{\""bad-atrocious\"":\""NO, NOT A CONTRADICTION\""}""",bad,atrocious,It,2176382
scales-contradictory.csv,,NOT AVAILABLE,NOT AVAILABLE,5f1c2ebf1d8b7c48ad3ec3db,PROLIFIC,31-Dec-2025 18:32:05,14423,353272,"""{\""bad-atrocious\"":\""NO, NOT A CONTRADICTION\""}""",bad,atrocious,It,2180022
scales-contradictory.csv,,NOT AVAILABLE,NOT AVAILABLE,601e13b872774f263d64acac,PROLIFIC,31-Dec-2025 18:24:34,14423,353272,"""{\""bad-atrocious\"":\""NO, NOT A CONTRADICTION\""}""",bad,atrocious,It,2179460
scales-contradictory.csv,,NOT AVAILABLE,NOT AVAILABLE,60d22e68bb03e1da436b8b7c,PROLIFIC,31-Dec-2025 18:13:48,14423,353272,"""{\""bad-atrocious\"":\""NO, NOT A CONTRADICTION\""}""",bad,atrocious,It,2177825
scales-contradictory.csv,,NOT AVAILABLE,NOT AVAILABLE,60fee296717a6b8706549844,PROLIFIC,31-Dec-2025 19:22:21,14423,353272,"""{\""bad-atrocious\"":\""NO, NOT A CONTRADICTION\""}""",bad,atrocious,It,2181137
scales-contradictory.csv,,NOT AVAILABLE,NOT AVAILABLE,61002c88ae47f23265ff57e3,PROLIFIC,31-Dec-2025 18:15:39,14423,353272,"""{\""bad-atrocious\"":\""NO, NOT A CONTRADICTION\""}""",bad,atrocious,It,2178085
scales-contradictory.csv,,NOT AVAILABLE,NOT AVAILABLE,612b86da38f96808af7bb1da,PROLIFIC,31-Dec-2025 18:13:34,14423,353272,"""{\""bad-atrocious\"":\""NO, NOT A CONTRADICTION\""}""",bad,atrocious,It,2177710
scales-contradictory.csv,,NOT AVAILABLE,NOT AVAILABLE,6234b2b5e6b80ea7060d458a,PROLIFIC,31-Dec-2025 18:31:52,14423,353272,"""{\""bad-atrocious\"":\""NO, NOT A CONTRADICTION\""}""",bad,atrocious,It,2179978
scales-contradictory.csv,,NOT AVAILABLE,NOT AVAILABLE,628a4816764d2f993ee7493d,PROLIFIC,31-Dec-2025 18:20:18,14423,353272,"""{\""bad-atrocious\"":\""YES, IS A CONTRADICTION\""}""",bad,atrocious,It,2178907
scales-contradictory.csv,,NOT AVAILABLE,NOT AVAILABLE,628f83dc5398c04bac86f9e6,PROLIFIC,31-Dec-2025 18:27:07,14423,353272,"""{\""bad-atrocious\"":\""YES, IS A CONTRADICTION\""}""",bad,atrocious,It,2179682
scales-contradictory.csv,,NOT AVAILABLE,NOT AVAILABLE,62d59a066ee263bb659aa445,PROLIFIC,31-Dec-2025 19:22:53,14423,353272,"""{\""bad-atrocious\"":\""NO, NOT A CONTRADICTION\""}""",bad,atrocious,It,2181159
