"filename","listnumber","assignmentid","hitid","workerid","origin","timestamp","partid","questionid","answer","itemid","weakimage","strongimage","thirdimage","choice4","choice5","id"
"images-with-missing-scales.csv","","NOT AVAILABLE","NOT AVAILABLE","123","PROLIFIC","27-Feb-2026 16:11:19","14482","353691","""[{\""word\"":\""green\"",\""selection\"":\""green\""},{\""word\"":\""blue\"",\""selection\"":\""blue\""},{\""word\"":\""purple\"",\""selection\"":\""purple\""},{\""timeTaken\"":4753}]""","-3","green-filler.png","purple-filler.png","blue-filler.png","","","2184950"
"images-with-missing-scales.csv","","NOT AVAILABLE","NOT AVAILABLE","595a458f4c20120001517d39","PROLIFIC","27-Feb-2026 21:24:39","14482","353691","""[{\""word\"":\""blue\"",\""selection\"":\""blue\""},{\""word\"":\""green\"",\""selection\"":\""green\""},{\""word\"":\""purple\"",\""selection\"":\""purple\""},{\""timeTaken\"":6414}]""","-3","green-filler.png","purple-filler.png","blue-filler.png","","","2184977"
"images-with-missing-scales.csv","","NOT AVAILABLE","NOT AVAILABLE","5be0f2c478a95e000186d639","PROLIFIC","27-Feb-2026 21:56:51","14482","353691","""[{\""word\"":\""green\"",\""selection\"":\""green\""},{\""word\"":\""blue\"",\""selection\"":\""blue\""},{\""word\"":\""purple\"",\""selection\"":\""purple\""},{\""timeTaken\"":32259.29999999702}]""","-3","green-filler.png","purple-filler.png","blue-filler.png","","","2185274"
"images-with-missing-scales.csv","","NOT AVAILABLE","NOT AVAILABLE","5c61ab19776b38000156cc95","PROLIFIC","27-Feb-2026 22:28:30","14482","353691","""[{\""word\"":\""purple\"",\""selection\"":\""purple\""},{\""word\"":\""blue\"",\""selection\"":\""blue\""},{\""word\"":\""green\"",\""selection\"":\""green\""},{\""timeTaken\"":7402.600000023842}]""","-3","green-filler.png","purple-filler.png","blue-filler.png","","","2185314"
"images-with-missing-scales.csv","","NOT AVAILABLE","NOT AVAILABLE","5ca24b9ceb041e00152164f0","PROLIFIC","27-Feb-2026 21:53:29","14482","353691","""[{\""word\"":\""blue\"",\""selection\"":\""blue\""},{\""word\"":\""purple\"",\""selection\"":\""purple\""},{\""word\"":\""green\"",\""selection\"":\""green\""},{\""timeTaken\"":6519.399999976158}]""","-3","green-filler.png","purple-filler.png","blue-filler.png","","","2185254"
"images-with-missing-scales.csv","","NOT AVAILABLE","NOT AVAILABLE","5d23460ad4c57900192b129c","PROLIFIC","27-Feb-2026 21:52:49","14482","353691","""[{\""word\"":\""blue\"",\""selection\"":\""blue\""},{\""word\"":\""green\"",\""selection\"":\""green\""},{\""word\"":\""purple\"",\""selection\"":\""purple\""},{\""timeTaken\"":5809.0999999940395}]""","-3","green-filler.png","purple-filler.png","blue-filler.png","","","2185240"
"images-with-missing-scales.csv","","NOT AVAILABLE","NOT AVAILABLE","5d8a29c082fec30001d9c24a","PROLIFIC","27-Feb-2026 21:33:46","14482","353691","""[{\""word\"":\""purple\"",\""selection\"":\""purple\""},{\""word\"":\""blue\"",\""selection\"":\""blue\""},{\""word\"":\""green\"",\""selection\"":\""green\""},{\""timeTaken\"":5153}]""","-3","green-filler.png","purple-filler.png","blue-filler.png","","","2185093"
"images-with-missing-scales.csv","","NOT AVAILABLE","NOT AVAILABLE","5dde8961a4aa26f2f73d785b","PROLIFIC","27-Feb-2026 21:34:06","14482","353691","""[{\""word\"":\""blue\"",\""selection\"":\""blue\""},{\""word\"":\""green\"",\""selection\"":\""green\""},{\""word\"":\""purple\"",\""selection\"":\""purple\""},{\""timeTaken\"":8289.5}]""","-3","green-filler.png","purple-filler.png","blue-filler.png","","","2185100"
"images-with-missing-scales.csv","","NOT AVAILABLE","NOT AVAILABLE","5e0696dea7fba607951ae479","PROLIFIC","27-Feb-2026 21:48:21","14482","353691","""[{\""word\"":\""green\"",\""selection\"":\""green\""},{\""word\"":\""purple\"",\""selection\"":\""purple\""},{\""word\"":\""blue\"",\""selection\"":\""blue\""},{\""timeTaken\"":6342.5}]""","-3","green-filler.png","purple-filler.png","blue-filler.png","","","2185202"
"images-with-missing-scales.csv","","NOT AVAILABLE","NOT AVAILABLE","5e2ac2aa0038f21089a533a4","PROLIFIC","27-Feb-2026 21:48:12","14482","353691","""[{\""word\"":\""green\"",\""selection\"":\""green\""},{\""word\"":\""purple\"",\""selection\"":\""purple\""},{\""word\"":\""blue\"",\""selection\"":\""blue\""},{\""timeTaken\"":5405.70000000298}]""","-3","green-filler.png","purple-filler.png","blue-filler.png","","","2185191"
